qa_id,question,true_answer,source_article_id,category,vanilla_answer,vanilla_confidence,rag_answer,rag_confidence,retrieved_chunk_ids
107,Which player scored a try for Italy at the end of the match?,Martin Castrogiovanni,rugby_019,rugby,The specific player who scored a try for Italy at the end of a match is not provided in the available data.,0.2,I don't know,0.0,"[""rugby_143_c0"", ""rugby_031_c0"", ""rugby_019_c0""]"
108,What marathon is Paula Radcliffe participating in?,New York City Marathon,athletics_040,athletics,"As of my last update, Paula Radcliffe is not actively participating in any marathons. She retired from competitive marathon running in 2015.",0.9,Paula Radcliffe is participating in the Flora London Marathon.,0.9,"[""athletics_065_c0"", ""athletics_040_c0"", ""athletics_011_c0""]"
109,What distance is the New York City Marathon?,26.2 miles,athletics_040,athletics,The New York City Marathon is 26.2 miles (42.195 kilometers) long.,1.0,26.2 miles,0.9,"[""athletics_042_c0"", ""athletics_053_c0"", ""athletics_040_c0""]"
110,How old is Paula Radcliffe according to the article?,30 years old,athletics_040,athletics,The article's publication date is needed to determine Paula Radcliffe's age.,0.5,31,0.9,"[""athletics_065_c0"", ""athletics_040_c0"", ""athletics_011_c0""]"
111,What was the final score of the match between Liverpool and Bayer Leverkusen?,3-1,football_061,football,The final score of the match between Liverpool and Bayer Leverkusen is not specified. Please provide the date or context for the specific match you are referring to.,0.3,3-1,0.9,"[""football_061_c0"", ""football_249_c1"", ""football_129_c0""]"
112,Who was the Liverpool manager during the match against Bayer Leverkusen?,Rafael Benitez,football_061,football,"The specific match between Liverpool and Bayer Leverkusen is not mentioned, so it's unclear which manager was in charge. However, notable managers during Liverpool's matches against Bayer Leverkusen in the UEFA Champions League include Gérard Houllier (2001-2002 season) and Rafael Benítez (2004-2005 season).",0.6,Rafael Benitez,1.0,"[""football_061_c0"", ""football_129_c0"", ""football_008_c0""]"
113,Which Liverpool player was suspended for the Anfield leg?,Steven Gerrard,football_061,football,"Curtis Jones was suspended for the Anfield leg against Union Saint-Gilloise in the UEFA Europa League on October 5, 2023.",0.9,I don't know,0.0,"[""football_140_c0"", ""football_159_c0"", ""football_175_c0""]"
114,Which competition gave an opportunity for younger players to get first-team experience?,FA Cup,football_212,football,"The EFL Trophy, also known as the Papa John's Trophy, is a competition that gives younger players from Premier League and Championship clubs an opportunity to gain first-team experience.",0.9,I don't know,0.0,"[""football_251_c1"", ""football_216_c0"", ""football_212_c1""]"
115,Who are some of the foreign managers mentioned in the article?,"Arsene Wenger, Claudio Ranieri, Jose Mourinho",football_212,football,I'm unable to access or reference specific articles directly.,0.8,"Arsene Wenger, Claudio Ranieri, Jose Mourinho",0.9,"[""football_212_c0"", ""football_025_c0"", ""football_212_c1""]"
116,Which club is mentioned as signing young Englishmen?,Chelsea,football_212,football,Chelsea,0.7,Chelsea,0.9,"[""football_212_c1"", ""football_212_c0"", ""football_251_c1""]"
117,Which team did Alex Tudor join on a one-year contract?,Essex,cricket_012,cricket,Alex Tudor joined Essex on a one-year contract.,0.8,Essex,0.9,"[""cricket_012_c0"", ""rugby_014_c0"", ""rugby_010_c0""]"
118,How many Test caps does Alex Tudor have?,10,cricket_012,cricket,Alex Tudor has 10 Test caps.,0.9,10,0.9,"[""cricket_012_c0"", ""rugby_100_c1"", ""cricket_005_c0""]"
119,Who described Alex Tudor as a 'world-class signing'?,Ronnie Irani,cricket_012,cricket,Nasser Hussain,0.9,Ronnie Irani,1.0,"[""cricket_012_c0"", ""football_254_c0"", ""football_212_c1""]"
120,Which two players are mentioned as a potential middle-order allegiance for England?,Andrew Flintoff and Kevin Pietersen,cricket_020,cricket,Harry Brook and Joe Root,0.8,Andrew Flintoff and Kevin Pietersen,0.9,"[""cricket_020_c0"", ""cricket_089_c0"", ""cricket_089_c1""]"
121,How many one-day centuries did Kevin Pietersen score in South Africa recently?,Three,cricket_020,cricket,"Kevin Pietersen has not played any recent one-day matches for South Africa as he retired from international cricket in 2014 and played for England, not South Africa.",1.0,three,0.9,"[""cricket_109_c0"", ""cricket_013_c0"", ""cricket_002_c0""]"
122,What was the result of England's Test series in South Africa?,2-1 victory,cricket_020,cricket,England won the Test series in South Africa 3-1 in the 2019-2020 season.,0.9,I don't know,0.0,"[""cricket_096_c0"", ""cricket_075_c0"", ""cricket_084_c0""]"
123,Who is Mark Lewis-Francis taking advice from?,Linford Christie,athletics_094,athletics,"Mark Lewis-Francis has taken advice from Linford Christie, a former British sprinter.",0.8,Linford Christie,1.0,"[""athletics_094_c0"", ""athletics_098_c0"", ""athletics_067_c0""]"
124,What is Mark Lewis-Francis's weight now?,86.9kg,athletics_094,athletics,Mark Lewis-Francis's current weight is not publicly available.,0.6,86.9kg,0.9,"[""athletics_094_c0"", ""athletics_098_c0"", ""athletics_067_c0""]"
125,Where will Mark Lewis-Francis compete on 18 February?,Birmingham,athletics_094,athletics,There is no specific information available about Mark Lewis-Francis competing on 18 February.,0.3,Birmingham,1.0,"[""athletics_094_c0"", ""athletics_098_c0"", ""athletics_067_c0""]"
126,Who took the match-winning kick for Wales against England?,Gavin Henson,rugby_020,rugby,Gareth Anscombe,0.8,Gavin Henson,1.0,"[""rugby_128_c1"", ""rugby_024_c0"", ""rugby_128_c0""]"
127,What was the score when Wales were awarded a long-range penalty?,9-8,rugby_020,rugby,"The specific match and context are not provided, so the score at the time Wales were awarded a long-range penalty cannot be determined.",0.2,I don't know,0.0,"[""rugby_029_c0"", ""rugby_143_c0"", ""rugby_128_c1""]"
128,When was Wales' last win over England in Cardiff before this match?,1993,rugby_020,rugby,"Wales' last win over England in Cardiff before this match was on February 23, 2019.",0.9,I don't know,0.0,"[""rugby_088_c4"", ""rugby_088_c3"", ""rugby_130_c0""]"
129,Where did England attempt to secure a series victory?,South Africa,cricket_096,cricket,England attempted to secure a series victory in the 2023 Ashes series against Australia.,0.8,Centurion,0.9,"[""cricket_107_c0"", ""cricket_096_c0"", ""cricket_068_c0""]"
130,Who was the England captain during the match at Centurion Park?,Nasser Hussain,cricket_096,cricket,The England captain during the match at Centurion Park in December 2019 was Joe Root.,0.9,Michael Vaughan,0.9,"[""cricket_064_c0"", ""cricket_068_c0"", ""cricket_013_c0""]"
131,What was the final target set for England on the last day?,249 from 76 overs,cricket_096,cricket,The final target set for England on the last day of a specific match is not provided in the question. More context is needed to determine the exact match and target.,0.2,I don't know,0.0,"[""cricket_107_c0"", ""cricket_050_c1"", ""cricket_084_c0""]"
132,Who set the preliminary trial date for the Balco case?,Susan Ilston,athletics_045,athletics,U.S. District Judge Susan Illston set the preliminary trial date for the Balco case.,0.9,US district court judge Susan Ilston,0.9,"[""athletics_091_c0"", ""athletics_045_c0"", ""athletics_035_c0""]"
133,When is the preliminary trial date set for the Balco case?,March,athletics_045,athletics,The preliminary trial date for the Balco case was set for March 2005.,0.8,March,0.9,"[""athletics_091_c0"", ""athletics_045_c0"", ""athletics_035_c0""]"
134,Which banned substances are associated with the Balco scandal?,THG and modafinil,athletics_045,athletics,"The BALCO scandal involved several banned substances, including tetrahydrogestrinone (THG), erythropoietin (EPO), human growth hormone (HGH), and insulin-like growth factor 1 (IGF-1).",0.9,"THG, modafinil, EPO, testosterone/epitestosterone cream",0.9,"[""athletics_091_c0"", ""athletics_045_c0"", ""athletics_035_c0""]"
135,Which Argentine player is joining Corinthians?,Carlos Tevez,football_116,football,Lucas Veríssimo is the Argentine player joining Corinthians.,0.7,Carlos Tevez,0.9,"[""football_116_c0"", ""football_116_c1"", ""football_225_c0""]"
136,How much was paid for Carlos Tevez to join Corinthians?,nearly $20m,football_116,football,$16 million,0.9,nearly $20m,0.9,"[""football_116_c0"", ""football_116_c1"", ""football_223_c1""]"
137,Which club did Bernardo Gandulla join in Brazil?,Vasco da Gama,football_116,football,Vasco da Gama,0.9,Vasco da Gama,1.0,"[""football_116_c0"", ""football_223_c1"", ""football_116_c1""]"
138,Who is the coach of the France team?,Bernard Laporte,rugby_013,rugby,Didier Deschamps,0.9,Bernard Laporte,1.0,"[""rugby_013_c0"", ""rugby_004_c0"", ""rugby_037_c0""]"
139,What was the score of France's win against Scotland?,16-9,rugby_013,rugby,"France defeated Scotland 4-1 in a UEFA Euro 2024 qualifying match on October 17, 2023.",0.9,I don't know,0.0,"[""rugby_037_c0"", ""rugby_003_c0"", ""rugby_139_c0""]"
140,Where will France play against England?,Twickenham,rugby_013,rugby,"France will play against England at the Stade de France in Saint-Denis, France.",0.8,Twickenham,0.9,"[""rugby_013_c0"", ""rugby_037_c0"", ""rugby_141_c0""]"
141,Who is the England coach mentioned in the article?,Andy Robinson,rugby_077,rugby,"I'm sorry, I don't have access to the article you're referring to.",0.0,Andy Robinson,1.0,"[""rugby_047_c0"", ""cricket_116_c0"", ""rugby_040_c0""]"
142,Which players are missing for the Six Nations?,"Jonny Wilkinson, Mike Tindall, Will Greenwood",rugby_077,rugby,"The specific players missing for the Six Nations can vary each year due to injuries, suspensions, or other reasons. For the most accurate and current information, it's best to check the latest team announcements or news updates from the participating teams.",0.5,"Jimmy Marlu is definitely out with a knee injury, and Serge Betsen is a doubt with a thigh injury.",0.9,"[""rugby_049_c0"", ""rugby_061_c0"", ""rugby_139_c0""]"
143,When is the injury audit expected to be released?,March,rugby_077,rugby,The injury audit release date is not specified in the available data.,0.3,March,0.9,"[""rugby_077_c0"", ""athletics_093_c0"", ""rugby_121_c0""]"
144,Who is the captain of the Indian cricket team?,Sourav Ganguly,cricket_057,cricket,Rohit Sharma,0.9,Sourav Ganguly,1.0,"[""cricket_032_c0"", ""cricket_024_c0"", ""cricket_041_c1""]"
145,How many Tests and one-day matches are scheduled for India's tour to Bangladesh?,Two Tests and three one-day matches,cricket_057,cricket,"India's tour to Bangladesh typically includes a varying number of Tests and ODIs, but specific schedules can change. For the most accurate and current information, please refer to the latest announcements from the cricket boards or official cricket websites.",0.3,Two Tests and three one-day matches,0.9,"[""cricket_057_c0"", ""cricket_065_c0"", ""cricket_058_c0""]"
146,When is the second Test in Chittagong due to start?,16 December,cricket_057,cricket,The specific date for the second Test in Chittagong is not available in my current dataset.,0.3,The second Test in Chittagong is due to start on 16 December.,0.9,"[""cricket_058_c0"", ""cricket_057_c0"", ""cricket_111_c0""]"
147,Who is aiming for the world indoor two mile record?,Kenenisa Bekele,athletics_032,athletics,Yared Nuguse,0.8,Kenenisa Bekele,1.0,"[""athletics_032_c0"", ""athletics_018_c0"", ""athletics_069_c1""]"
148,What is the current world indoor two mile record time?,"eight minutes, 04.69 seconds",athletics_032,athletics,7:54.10,0.9,"eight minutes, 04.69 seconds",1.0,"[""athletics_018_c0"", ""athletics_032_c0"", ""athletics_069_c1""]"
149,When will Bekele race against his compatriots?,18 February,athletics_032,athletics,There is no specific information available about when Kenenisa Bekele will race against his compatriots next.,0.3,18 February,0.9,"[""athletics_032_c0"", ""athletics_053_c0"", ""athletics_070_c1""]"
150,"Who won the Volvo Women's Open in Pattaya, Thailand?",Conchita Martinez,tennis_084,tennis,"The Volvo Women's Open, also known as the Pattaya Women's Open, was won by various players over the years. The tournament was last held in 2015, and the winner that year was Daniela Hantuchová.",0.8,Conchita Martinez,1.0,"[""tennis_084_c0"", ""tennis_034_c0"", ""tennis_020_c0""]"
151,What was the score of the final match between Conchita Martinez and Anna-Lena Groenefeld?,6-3 3-6 6-3,tennis_084,tennis,Conchita Martinez and Anna-Lena Groenefeld have not played a notable final match against each other.,0.8,6-3 3-6 6-3,1.0,"[""tennis_084_c0"", ""tennis_020_c0"", ""tennis_016_c0""]"
152,When was Conchita Martinez's last title before the Volvo Women's Open?,2000,tennis_084,tennis,Conchita Martinez's last title before the Volvo Women's Open was the 1996 German Open.,0.9,2000,0.9,"[""tennis_084_c0"", ""tennis_020_c0"", ""tennis_019_c0""]"
153,Who scored 256-9 in the tour match?,Pakistan,cricket_054,cricket,"The question lacks context, such as the specific tour match or teams involved, making it difficult to provide an accurate answer.",0.2,I don't know,0.0,"[""cricket_083_c0"", ""cricket_064_c0"", ""cricket_013_c0""]"
154,How many runs did Mike Hussey concede?,28,cricket_054,cricket,"Mike Hussey is primarily known as a batsman and not a bowler, so he did not concede many runs in his career. However, he bowled occasionally and conceded a total of 36 runs in One Day Internationals (ODIs) and 1 run in Test matches.",0.8,I don't know,0.0,"[""cricket_001_c1"", ""cricket_093_c0"", ""cricket_056_c0""]"
155,Who led the Chairman's XI?,Justin Langer,cricket_054,cricket,"The Chairman's XI is typically led by a captain selected for each specific match or series, and the captain can vary. Without a specific match or year, it's unclear who led the team.",0.3,Justin Langer,1.0,"[""cricket_054_c0"", ""cricket_114_c1"", ""cricket_041_c1""]"
156,Who is the coach of Wales?,Mike Ruddock,rugby_027,rugby,"As of the latest information, the coach of the Wales national football team is Rob Page.",0.9,Mike Ruddock,1.0,"[""rugby_027_c0"", ""rugby_037_c0"", ""rugby_122_c1""]"
157,Which player replaces Hal Luscombe on the right wing?,Kevin Morgan,rugby_027,rugby,The specific player who replaced Hal Luscombe on the right wing is not readily available in the data I have.,0.3,I don't know,0.0,"[""rugby_011_c0"", ""football_035_c0"", ""rugby_050_c0""]"
158,Which team did Wales beat with a score of 38-8?,Italy,rugby_027,rugby,Wales beat Georgia with a score of 38-8.,0.8,I don't know,0.0,"[""rugby_088_c3"", ""rugby_009_c0"", ""rugby_088_c4""]"
159,Who branded Chelsea's expected complaint to Uefa as pathetic?,Henk Ten Cate,football_046,football,Sir Alex Ferguson,0.9,Barcelona assistant coach Henk Ten Cate,1.0,"[""football_046_c0"", ""football_075_c0"", ""football_190_c0""]"
160,What was the final score of the match between Chelsea and Barcelona?,2-1,football_046,football,The final score of a specific match between Chelsea and Barcelona is not provided. Please specify the date or competition for more details.,0.3,I don't know,0.0,"[""football_010_c0"", ""football_046_c0"", ""football_089_c0""]"
161,Which Chelsea player was dismissed during the match?,Didier Drogba,football_046,football,"I'm not sure which specific match you're referring to, so I can't provide the name of the Chelsea player who was dismissed.",0.3,Didier Drogba,0.9,"[""football_075_c0"", ""football_046_c0"", ""football_103_c0""]"
162,Which event did Kelly Holmes win at the 2004 Olympics?,800m,athletics_034,athletics,Kelly Holmes won gold medals in the 800 meters and 1500 meters events at the 2004 Olympics.,1.0,Kelly Holmes won the 800m and 1500m events at the 2004 Olympics.,0.9,"[""athletics_022_c0"", ""athletics_066_c0"", ""athletics_027_c0""]"
163,Who were the members of the British men's 4x100m relay team in 2004?,"Jason Gardener, Darren Campbell, Marlon Devonish, Mark Lewis-Francis",athletics_034,athletics,"The members of the British men's 4x100m relay team in 2004 were Jason Gardener, Darren Campbell, Marlon Devonish, and Mark Lewis-Francis.",0.9,"Darren Campell, Jason Gardener, Marlon Devonish, and Mark Lewis-Francis",1.0,"[""athletics_066_c0"", ""athletics_069_c1"", ""athletics_075_c1""]"
164,Which two events did Hicham El Guerrouj win at the 2004 Olympics?,"1500m and 5,000m",athletics_034,athletics,Hicham El Guerrouj won the 1500 meters and 5000 meters events at the 2004 Olympics.,1.0,"1500m and 5,000m",0.9,"[""athletics_025_c0"", ""athletics_066_c1"", ""athletics_069_c1""]"
165,Who scored 80 runs for India?,Mohammad Kaif,cricket_077,cricket,The question is too vague as many Indian cricketers have scored 80 runs in various matches. A specific match or context is needed to provide an accurate answer.,0.3,Mohammad Kaif,1.0,"[""cricket_077_c0"", ""cricket_032_c0"", ""cricket_024_c0""]"
166,What was the final score for Bangladesh?,234-8,cricket_077,cricket,I'm not sure which specific event or match you're referring to. Could you provide more details?,0.2,I don't know,0.0,"[""cricket_077_c1"", ""cricket_065_c0"", ""cricket_115_c0""]"
167,Who was run out for nought in India's innings?,Mahendra Dhoni,cricket_077,cricket,"Without specific context or a particular match reference, it's unclear who was run out for nought in India's innings.",0.2,Dhoni,1.0,"[""cricket_077_c0"", ""cricket_045_c0"", ""cricket_022_c0""]"
168,Which events has Kelly Holmes been chosen for at the European Indoor Championships?,800m and 1500m,athletics_068,athletics,Kelly Holmes was chosen for the 800 meters and 1500 meters events at the European Indoor Championships.,0.8,Kelly Holmes has been chosen for both the 800m and 1500m at the European Indoor Championships.,0.9,"[""athletics_068_c0"", ""athletics_099_c0"", ""athletics_052_c0""]"
169,Who is the defending 60m champion included in the GB team?,Jason Gardener,athletics_068,athletics,Reece Prescod,0.8,Jason Gardener,0.9,"[""athletics_068_c0"", ""athletics_058_c1"", ""athletics_059_c1""]"
170,When will the European Indoor Championships begin in Madrid?,4 March,athletics_068,athletics,"The European Indoor Championships in Madrid are scheduled to begin on March 6, 2025.",0.9,I don't know,0.0,"[""athletics_014_c0"", ""athletics_068_c0"", ""athletics_073_c0""]"
171,Who will appeal against the acquittal of Kostas Kenteris and Katerina Thanou if the IAAF does not?,Wada,athletics_079,athletics,The Greek athletics federation (SEGAS) would appeal against the acquittal of Kostas Kenteris and Katerina Thanou if the IAAF does not.,0.8,The World Anti-Doping Agency (Wada) will appeal against the acquittal of Kostas Kenteris and Katerina Thanou if the IAAF does not.,0.9,"[""athletics_081_c0"", ""athletics_079_c0"", ""athletics_048_c0""]"
172,What charges were Kostas Kenteris and Katerina Thanou cleared of?,Missing dope tests,athletics_079,athletics,Kostas Kenteris and Katerina Thanou were cleared of charges related to staging a motorcycle accident to avoid a drug test before the 2004 Athens Olympics.,0.9,"Kostas Kenteris and Katerina Thanou were cleared of doping offences related to allegedly missing three drugs tests, including one on the eve of the Athens Olympics.",0.9,"[""athletics_082_c0"", ""athletics_048_c0"", ""athletics_054_c0""]"
173,Who was banned for four years by the tribunal?,Christos Tzekos,athletics_079,athletics,"Simona Halep, a professional tennis player, was banned for four years by an independent tribunal in September 2023.",0.9,I don't know,0.0,"[""tennis_065_c0"", ""athletics_048_c0"", ""athletics_023_c0""]"
174,What is the ICC considering changing in one-day cricket?,Two wickets off a single ball.,cricket_101,cricket,"The ICC is considering changing the format of one-day cricket to potentially reduce the number of overs or alter the structure to make it more engaging, but specific details are not confirmed.",0.7,The ICC is considering allowing the fielding side to take two wickets off a single ball and modifying the 15-over period of fielding restrictions to allow the batting side to choose three different slots of five overs when only two fielders would be permitted to cover the boundaries.,0.9,"[""cricket_101_c0"", ""cricket_122_c0"", ""cricket_102_c0""]"
175,Who heads the ICC committee recommending the proposal?,Sunil Gavaskar.,cricket_101,cricket,Greg Barclay,0.7,Sunil Gavaskar,1.0,"[""cricket_112_c0"", ""cricket_101_c0"", ""cricket_102_c0""]"
176,Where is the ICC discussing the proposals?,Melbourne.,cricket_101,cricket,"The ICC is discussing the proposals in Ahmedabad, India.",0.8,Melbourne,0.9,"[""cricket_112_c0"", ""cricket_101_c0"", ""cricket_102_c0""]"
177,When does the World Cross-Country Championships start?,19 March,athletics_011,athletics,"The World Cross Country Championships are typically held in March, but the exact date can vary each year.",0.8,19 March,0.9,"[""athletics_087_c0"", ""athletics_025_c0"", ""athletics_002_c0""]"
178,What event is Paula Radcliffe preparing for?,London Marathon,athletics_011,athletics,Paula Radcliffe is retired and not currently preparing for any event.,0.9,Paula Radcliffe is preparing for the Flora London Marathon.,0.9,"[""athletics_040_c0"", ""athletics_011_c0"", ""athletics_065_c0""]"
179,What position did the GB team achieve in the World Cross-Country Championships last year?,Bronze,athletics_011,athletics,I don't have the specific position for the GB team in the World Cross-Country Championships last year.,0.2,I don't know,0.0,"[""athletics_087_c0"", ""athletics_076_c0"", ""athletics_078_c0""]"
180,Which team is considering a bid for Andy Farrell?,Leicester Tigers,rugby_125,rugby,The British and Irish Lions are considering a bid for Andy Farrell.,0.8,Leicester,0.9,"[""rugby_125_c0"", ""rugby_126_c0"", ""rugby_124_c0""]"
181,What medical issue has Andy Farrell faced?,knee problems,rugby_125,rugby,There is no widely known or reported medical issue faced by Andy Farrell as of the latest available information.,0.7,Andy Farrell has faced persistent knee problems and had an operation on his knee five weeks ago.,0.9,"[""rugby_125_c0"", ""rugby_126_c0"", ""rugby_121_c0""]"
182,How long is Andy Farrell expected to be out after his knee operation?,three months,rugby_125,rugby,There is no specific information available on the expected duration of Andy Farrell's recovery after his knee operation.,0.3,Andy Farrell is expected to be out for another three months after his knee operation.,0.9,"[""rugby_125_c0"", ""rugby_138_c0"", ""rugby_126_c0""]"
183,Who are the Greek sprinters involved in the drugs hearing?,Kostas Kenteris and Katerina Thanou,athletics_023,athletics,The Greek sprinters involved in the drugs hearing were Kostas Kenteris and Katerina Thanou.,0.9,Kostas Kenteris and Katerina Thanou,1.0,"[""athletics_023_c0"", ""athletics_033_c0"", ""athletics_080_c0""]"
184,What did Kostas Kenteris win at the 2000 Sydney Olympics?,200m gold,athletics_023,athletics,Kostas Kenteris won the gold medal in the men's 200 meters at the 2000 Sydney Olympics.,1.0,Kostas Kenteris won gold in the 200m at the 2000 Sydney Olympics.,1.0,"[""athletics_017_c0"", ""athletics_047_c0"", ""athletics_082_c0""]"
185,When were Kenteris and Thanou given provisional suspensions by the IAAF?,December,athletics_023,athletics,"Kenteris and Thanou were given provisional suspensions by the IAAF on December 22, 2004.",0.9,December,0.9,"[""athletics_048_c0"", ""athletics_023_c0"", ""athletics_033_c0""]"
186,Which team will Jonny Wilkinson face on Saturday?,Edinburgh,rugby_105,rugby,I don't have information on Jonny Wilkinson's current matches or schedule.,0.2,Edinburgh,0.9,"[""rugby_105_c0"", ""rugby_062_c0"", ""rugby_142_c0""]"
187,When did Jonny Wilkinson injure his bicep?,17 October,rugby_105,rugby,Jonny Wilkinson injured his bicep in September 2003.,0.8,17 October,0.9,"[""rugby_105_c0"", ""rugby_062_c0"", ""rugby_110_c0""]"
188,Where is the Heineken Cup match taking place?,Murrayfield,rugby_105,rugby,"The location of a specific Heineken Cup match can vary, as matches are held at different venues across Europe. To find the location of a particular match, you would need to check the schedule for that specific game.",0.8,Real Sociedad's Paseo de Anoeta stadium in San Sebastian,0.9,"[""rugby_034_c0"", ""rugby_093_c0"", ""football_173_c0""]"
189,Which team is set to tour Australia?,West Indies,cricket_078,cricket,Pakistan is set to tour Australia.,0.8,West Indies,0.9,"[""cricket_019_c0"", ""rugby_129_c0"", ""cricket_078_c0""]"
190,Who is the sponsor of the West Indies Cricket Board?,Digicel,cricket_078,cricket,The West Indies Cricket Board is sponsored by Sandals Resorts.,0.8,Digicel,0.9,"[""cricket_078_c0"", ""cricket_105_c0"", ""cricket_069_c1""]"
191,When is the West Indies' first warm-up match against Victoria?,5 January,cricket_078,cricket,"The West Indies' first warm-up match against Victoria is on October 4, 2023.",0.9,5 January,1.0,"[""cricket_105_c0"", ""cricket_078_c0"", ""cricket_081_c1""]"
192,Who won the Canberra Classic?,Ana Ivanovic,tennis_081,tennis,The Canberra Classic was won by Jiyai Shin in 2020.,0.9,Ana Ivanovic,1.0,"[""tennis_081_c0"", ""tennis_030_c0"", ""tennis_038_c0""]"
193,Who did Ana Ivanovic defeat in the final?,Melinda Czink,tennis_081,tennis,Ana Ivanovic defeated Dinara Safina in the final of the 2008 French Open.,0.9,Melinda Czink,1.0,"[""tennis_081_c0"", ""tennis_016_c0"", ""tennis_010_c0""]"
194,What was the score of the final match?,7-5 6-1,tennis_081,tennis,I'm not sure which final match you are referring to. Please provide more details.,0.2,I don't know,0.0,"[""football_010_c0"", ""football_010_c1"", ""football_219_c1""]"
195,Who is Julian White expecting a tough match against in the Six Nations opener?,Wales,rugby_030,rugby,Julian White is expecting a tough match against Wales in the Six Nations opener.,0.8,Wales,0.9,"[""rugby_030_c0"", ""rugby_030_c1"", ""rugby_085_c1""]"
196,Which position does Gethin Jenkins play for Wales?,loose-head,rugby_030,rugby,Gethin Jenkins played as a prop for Wales.,1.0,I don't know,0.0,"[""rugby_128_c0"", ""rugby_054_c0"", ""rugby_140_c1""]"
197,What was the score when England defeated South Africa at Twickenham?,32-16,rugby_030,rugby,"England defeated South Africa 27-26 at Twickenham on November 20, 2021.",0.9,I don't know,0.0,"[""cricket_096_c0"", ""cricket_084_c0"", ""cricket_013_c0""]"
198,Who was named the new national manager of Scotland?,Walter Smith,football_118,football,Steve Clarke,0.9,Walter Smith,0.9,"[""football_118_c0"", ""cricket_116_c0"", ""football_114_c0""]"
199,What was Scotland's FIFA ranking at the time of the article?,77th,football_118,football,I don't have access to the specific article to determine Scotland's FIFA ranking at that time.,0.2,77th,0.9,"[""cricket_051_c0"", ""football_118_c0"", ""football_034_c0""]"
